threshold,true_positives,false_positives,false_negatives,true_negatives,precision,recall,f1_score,false_alarm_rate
50,1640,283,0,2680,0.8528341133645346,1.0,0.9205725512208812,0.09551130610867364
100,1640,720,0,2243,0.6949152542372882,1.0,0.8200000000000001,0.24299696253796826
150,1640,1002,0,1961,0.6207418622255867,1.0,0.7659971975712284,0.3381707728653392
200,1640,1404,0,1559,0.5387647831800263,1.0,0.7002561912894962,0.47384407694903813
250,1640,1651,0,1312,0.49832877544819204,1.0,0.6651794767795579,0.5572055349308134
300,1640,1882,0,1081,0.46564452015900054,1.0,0.63541263076327,0.6351670604117449
